"Class.Unit","Variable","Dist.Func"
"1","height","ECDF"
"1","slope","PDF"
"1","wetness","PDF"
"2","height","PDF"
"2","slope","ECDF"
"2","wetness","iECDF"
"3","height","PDF"
"3","slope","PDF"
"3","wetness","PDF"
"4","height","PDF"
"4","slope","PDF"
"4","wetness","PDF"
"5","height","iECDF"
"5","slope","iECDF"
"5","wetness","ECDF"
